Chapter,1854,1919,1946,1964,1966,2008,Original
1,28.0303030303,18.5833333333,21.0933333333,25.6951219512,28.0759493671,21.6736842105,23.8170731707
2,26.6666666667,22.0153846154,16.3308823529,24.4891304348,25.5238095238,19.6768558952,23.075
3,23.5808823529,18.0731707317,18.1185185185,26.19140625,28.2093023256,19.2768361582,19.6463414634
4,26,25.9469026549,18.704,25.8439306358,32.8082191781,23.9736842105,22.8249027237
5,21.4297520661,16.0153846154,16.2588832487,19.2477876106,21.5327102804,15.8597785978,23.0319634703
6,28.6176470588,22.3641618497,18.6432432432,25.4852941176,30.3333333333,18.449122807,24.7542372881
7,24.2887323944,18.7670454545,15.9860465116,22.7446808511,26.3878504673,17.8233333333,29.0403225806
8,26.4666666667,19.4972067039,20.4387096774,22.0054644809,25.7470588235,17.75,27.3909090909
9,26.5826771654,21.8575949367,17.8664495114,22.4921052632,26.9152046784,18.1509433962,25.578125
10,21.6536585366,22.5144508671,18.3725490196,23.2649253731,26.5691699605,19.9230769231,24.9943181818
11,21.9206896552,18.0330188679,16.9219512195,20.0735294118,21.32,16.2235772358,23.394265233
12,26.9285714286,18.747826087,19.5819672131,26.0088495575,28.1909090909,19.3660130719,28.3691275168
13,19.2946859903,19,16.2259136213,21.0535117057,22.1754966887,16.0458015267,16.7520661157
14,30.0189873418,20.7297297297,18.9857819905,22.6980676329,25.9577836412,17.0363636364,21.9559471366
15,27.7083333333,22.5416666667,19.8738738739,23.28125,26.8333333333,18.835443038,20.7909836066
16,23.1161290323,19.4615384615,21.2658959538,24.52,24.5108695652,18.5807860262,21.1620111732
17,25.1514195584,21,17.4389534884,23.8944099379,24.8913043478,18.4891041162,21.7161803714
18,30.7582417582,20.9632352941,17.814479638,23.2467532468,26.0137614679,16.8170347003,23.0426356589
19,26.0136054422,18.4794520548,15.4156378601,20.9908256881,21.1266375546,15.0263157895,14.5285171103
20,24.9659574468,20.3325635104,16.3585951941,21.9425925926,25.323943662,16.5864978903,16.8481375358
21,31.2163120567,17.897689769,14.2407407407,19.3095238095,19.9109414758,15.2869198312,18.9488272921
22,37.4868421053,23.6774193548,18.896039604,25.6544502618,26.1794871795,19.2307692308,24.7711864407
23,31.0846153846,15.9384615385,17,22.16,24.9136690647,17.3439153439,17.0212765957
24,31.9419642857,23.0081300813,19.7905405405,26.1241830065,26.2767295597,21.7541899441,18.0399002494
25,27.9444444444,21.9173553719,19.448,23.95,24.2916666667,19.6804733728,18.5163636364
26,25.1657142857,21.7206703911,20.0344827586,24.3497536946,22.6578947368,20.2603305785,18.2067510549
27,30.4615384615,15.7669172932,19.1238095238,20.5615384615,22.7219917012,15.1374269006,19.5242214533
28,24.201320132,22.0865384615,19.0813648294,25.5612244898,28.416893733,19.0291828794,15.8412698413
29,28.3333333333,18.3604060914,16.7064676617,20.845814978,21.9686098655,17.2851851852,17.2330827068
30,27.5652173913,14.7268292683,16.8109756098,17.8818565401,19.9196428571,14.0853242321,21.0502793296
31,28.8303571429,16.3984168865,16.5655976676,18.9952718676,19.7112676056,14.6098901099,19.5465838509
32,28.925,21.265060241,18.7931034483,23.2125,24.4523809524,17.787037037,19.4184100418
33,22.1548672566,20.5896226415,19.0466101695,24.1111111111,28.5866666667,17.7833827893,17.013986014
34,28.7195121951,21.6323529412,18.3362831858,25.023255814,27.4754901961,17.8552188552,21.9461358314
35,23.7675675676,27.5915492958,19.6306306306,30.7346938776,38.5714285714,22.6962962963,16.5833333333
36,20.6524064171,24.5511811024,21.0629370629,29.4761904762,32.008,22.737804878,15.88
37,18.4223300971,21.8556701031,19.3157894737,29.8666666667,32.2330097087,21.7755102041,14.0914179104
38,21.1547619048,20.5702479339,19.7301587302,27.4112903226,33.1621621622,23.1409395973,22.6790123457
