Chapter,X1854,X1919,X1946,X1964,X1966,X2008,Original
1,0.44054054054054054,0.4484304932735426,0.4683944374209861,0.44233507356430946,0.43552750225428316,0.45361826129188926,0.427547363031234
2,0.3960714285714286,0.45981830887491265,0.4259342638451148,0.33999112294718153,0.3310530679933665,0.3395472703062583,0.38136511375947996
3,0.3638914873713751,0.32465779834200886,0.32358953393295176,0.30902311707680835,0.29760923330585326,0.3071512309495897,0.32991930477964
4,0.3116950922380787,0.39051841746248295,0.3990590248075278,0.3632297025273988,0.3488517745302714,0.35806805708013173,0.2881009205591544
5,0.3096799074431161,0.345501120717259,0.34592569466125506,0.3409195402298851,0.3326822916666667,0.3438808748255002,0.2854877081681205
6,0.3706748886605002,0.3525458774877229,0.35604523050159465,0.3242931332948644,0.31453792109529816,0.3301635602890833,0.3402944197192742
7,0.3740214554943462,0.3693611867998789,0.3636892638929299,0.33171188026192705,0.32867009031344074,0.3375724705442304,0.35823382393779507
8,0.37877833753148615,0.37249283667621774,0.37247474747474746,0.3583312639682146,0.3470413525245602,0.35829009142574747,0.355791569863923
9,0.36670616113744076,0.3088171420298248,0.32561531449407477,0.29519129519129517,0.2884302009777295,0.30284130284130284,0.3445326817348809
10,0.31944131561162425,0.3643132220795892,0.35538954108858056,0.33039294306335204,0.31910145789943467,0.3338159588159588,0.2980222777904069
11,0.2836243511090137,0.34580172639288514,0.34938022484865955,0.3316239316239316,0.33067542213883677,0.3435229265848158,0.26505285736172823
12,0.33904027007475285,0.4448051948051948,0.4223524487233152,0.4130656685947601,0.41115769106739763,0.4130948363145461,0.3267092500591436
13,0.32498748122183274,0.32717431877566255,0.32227682227682225,0.3111993645750596,0.3023741974018217,0.31144941325721537,0.3147508633448446
14,0.30191861690912924,0.32017135406965913,0.28756864702945584,0.26987336383952326,0.2674324049603578,0.2752401280683031,0.3031701444622793
15,0.33297529538131043,0.41173752310536044,0.40616500453309157,0.3825503355704698,0.3673913043478261,0.38138440860215056,0.30139956633155923
16,0.34607870499581356,0.3546019198193111,0.35063876053275345,0.3353530645537171,0.3301552106430155,0.33490011750881316,0.3302534318901795
17,0.2755549981186504,0.3372670807453416,0.3060510085014169,0.2925656355601768,0.28446662507797876,0.29229963331587216,0.27042872847196775
18,0.30832440157199,0.39074009119607156,0.3472186944373889,0.3232774674115456,0.3099982366425674,0.32639279684862127,0.3005887300252313
19,0.3240062761506276,0.3587842846553002,0.36599038974906567,0.3505244755244755,0.34042992972302605,0.35288966725043786,0.29416383145773356
20,0.285495142321459,0.29168559745570194,0.28915254237288135,0.26407291754578444,0.2573494358811378,0.2693123039090986,0.27380952380952384
21,0.25798023401113257,0.3210400147519823,0.33268313827481577,0.30141115221263187,0.2897124600638978,0.30237372343361857,0.23596264206143805
22,0.36574236574236574,0.32992733878292463,0.33927167932931623,0.31448979591836734,0.31243878550440746,0.32294736842105265,0.3308244953814574
23,0.31823805988616677,0.3861003861003861,0.38064516129032255,0.38206979542719616,0.3641351429396477,0.37705918242830994,0.3065
24,0.2718378756114605,0.4021201413427562,0.39638101741208603,0.3727795846885164,0.3628530397319292,0.38161273754494096,0.2549073818081283
25,0.30238568588469183,0.4110105580693816,0.43233237350884407,0.39546674619743516,0.3847913093196112,0.3857486470234516,0.279261586802828
26,0.3178928247048138,0.36934156378600824,0.37751004016064255,0.36212826218895405,0.34630274874177314,0.3544768509076076,0.3128621089223638
27,0.2448624172762104,0.32713400095374345,0.3346613545816733,0.32117471006359893,0.3135500365230095,0.3247054278539695,0.22481169694284447
28,0.2637392608754943,0.30822812363952984,0.3105914718019257,0.28493013972055886,0.2791255153897785,0.290767815151825,0.26238190667048383
29,0.29454545454545455,0.35305501797069394,0.3570577724836212,0.32967032967032966,0.3259848948765054,0.3301907006642383,0.2859947643979058
30,0.3509463722397476,0.3670089433587281,0.3721436343852013,0.3430863614912695,0.32922456297624386,0.3406833050642113,0.34129511677282376
31,0.3682254567977702,0.3008849557522124,0.308870116156283,0.27728686994399504,0.27152554483744196,0.28030587940328444,0.35970765808706706
32,0.33664649956784787,0.41756373937677055,0.42385321100917434,0.44157242864835755,0.39824732229795523,0.41384695471108796,0.32945485886662357
33,0.29358897543439183,0.33837342497136313,0.3403781979977753,0.3289993416721527,0.32198383084577115,0.33088603370599035,0.28606658446362515
34,0.26231422505307855,0.3374121912531158,0.34266409266409265,0.3141263940520446,0.3099018733273863,0.3250990005657175,0.24735887311919752
35,0.3129406413463725,0.40939254721796836,0.41441027994492885,0.3944223107569721,0.37777777777777777,0.38740208877284593,0.28369118318867065
36,0.32418436043500776,0.39961513790891595,0.40604249667994685,0.3817985998922994,0.3859035241189703,0.387503352105122,0.3
37,0.2544137022397892,0.41839622641509433,0.430063578564941,0.4005102040816326,0.3846385542168675,0.3930021868166198,0.2369919237389117
38,0.39335959482273497,0.3913218159903576,0.3990345937248592,0.37540453074433655,0.3678348274925292,0.37354988399071926,0.38377789874795865
